iter	Passed	Remaining
0	5	525
1	7	355
2	9	294
3	18	455
4	22	435
5	24	383
6	26	346
7	28	325
8	31	315
9	32	294
10	35	284
11	41	306
12	45	307
13	47	292
14	49	277
15	50	265
16	56	277
17	59	270
18	64	275
19	72	291
20	74	281
21	77	274
22	78	264
23	80	255
24	82	247
25	88	251
26	90	244
27	92	238
28	94	230
29	95	223
30	96	215
31	103	220
32	105	213
33	107	208
34	110	204
35	111	198
36	113	192
37	119	194
38	120	189
39	122	183
40	123	178
41	124	171
42	131	173
43	136	173
44	137	168
45	139	163
46	145	163
47	147	160
48	150	156
49	152	152
50	154	148
51	155	143
52	163	145
53	167	142
54	168	137
55	170	133
56	178	134
57	183	132
58	185	128
59	187	124
60	195	124
61	198	121
62	201	118
63	213	119
64	216	116
65	218	112
66	226	111
67	229	108
68	231	103
69	233	100
70	242	99
71	245	95
72	248	91
73	256	90
74	260	86
75	262	82
76	264	79
77	269	75
78	272	72
79	275	68
80	277	65
81	286	62
82	289	59
83	291	55
84	294	51
85	301	49
86	304	45
87	306	41
88	308	38
89	310	34
90	315	31
91	317	27
92	320	24
93	322	20
94	324	17
95	325	13
96	330	10
97	332	6
98	334	3
99	337	0
