iter	Passed	Remaining
0	1	1688
1	3	1596
2	5	1693
3	6	1660
4	8	1594
5	9	1599
6	11	1615
7	13	1620
8	14	1623
9	16	1603
10	17	1584
11	20	1658
12	21	1666
13	23	1650
14	24	1635
15	26	1618
16	27	1603
17	29	1588
18	30	1574
19	31	1560
20	33	1550
21	43	1926
22	44	1897
23	46	1871
24	47	1847
25	48	1825
26	52	1879
27	53	1856
28	54	1835
29	56	1815
30	57	1797
31	58	1778
32	60	1763
33	61	1748
34	63	1740
35	64	1725
36	66	1730
37	68	1723
38	69	1706
39	70	1691
40	71	1677
41	72	1663
42	92	2057
43	94	2047
44	96	2046
45	99	2060
46	100	2045
47	102	2029
48	103	2014
49	105	1997
50	106	1981
51	107	1963
52	109	1948
53	110	1932
54	111	1912
55	112	1901
56	114	1892
57	115	1875
58	116	1861
59	118	1848
60	118	1831
61	119	1813
62	120	1797
63	121	1780
64	122	1765
65	123	1749
66	124	1733
67	125	1718
68	126	1704
69	128	1703
70	129	1694
71	130	1681
72	131	1668
73	132	1656
74	133	1643
75	134	1632
76	135	1620
77	136	1608
78	137	1597
79	137	1586
80	138	1576
81	139	1565
82	140	1550
83	141	1541
84	144	1553
85	145	1545
86	146	1537
87	147	1529
88	149	1532
89	152	1541
90	154	1543
91	156	1540
92	158	1544
93	160	1551
94	162	1544
95	162	1534
96	163	1525
97	164	1515
98	165	1506
99	166	1498
100	167	1490
101	168	1482
102	169	1475
103	170	1466
104	171	1458
105	173	1459
106	174	1455
107	175	1449
108	176	1444
109	177	1439
110	178	1432
111	179	1425
112	180	1417
113	181	1410
114	182	1403
115	183	1397
116	184	1391
117	185	1387
118	189	1402
119	190	1398
120	192	1397
121	193	1390
122	194	1385
123	195	1381
124	196	1375
125	197	1369
126	198	1362
127	199	1356
128	200	1350
129	200	1344
130	202	1344
131	203	1339
132	204	1334
133	205	1330
134	206	1325
135	207	1321
136	210	1325
137	211	1320
138	212	1315
139	213	1310
140	214	1306
141	215	1299
142	216	1297
143	218	1299
144	219	1294
145	220	1288
146	221	1283
147	222	1278
148	223	1273
149	223	1269
150	224	1264
151	225	1259
152	226	1254
153	227	1250
154	228	1245
155	229	1240
156	230	1236
157	231	1236
158	233	1234
159	234	1231
160	235	1226
161	237	1226
162	240	1233
163	241	1231
164	243	1231
165	244	1229
166	246	1229
167	251	1243
168	253	1246
169	255	1247
170	259	1255
171	260	1253
172	262	1257
173	264	1253
174	265	1249
175	267	1253
176	269	1250
177	269	1246
178	270	1242
179	271	1238
180	272	1235
181	274	1231
182	275	1227
183	275	1223
184	277	1224
185	279	1222
186	280	1220
187	282	1219
188	283	1216
189	284	1212
190	285	1209
191	286	1206
192	287	1203
193	288	1199
194	289	1195
195	290	1192
196	292	1190
197	294	1193
198	295	1189
199	297	1188
200	298	1186
201	299	1182
202	300	1178
203	301	1175
204	302	1171
205	303	1167
206	303	1164
207	304	1160
208	306	1159
209	307	1157
210	309	1155
211	310	1153
212	311	1151
213	312	1149
214	313	1145
215	314	1142
216	315	1139
217	316	1136
218	317	1133
219	318	1130
220	319	1127
221	321	1125
222	322	1124
223	323	1122
224	324	1119
225	326	1116
226	327	1116
227	329	1115
228	330	1112
229	331	1109
